game_id,comp,season,date_utc,stage,venue,home_name,home_code,away_name,away_code,home_score,away_score,status,source,first_seen
nba-18447022,NBA,2025-26,2025-11-18T00:30:00Z,Regular Season,,Toronto Raptors,TOR,Charlotte Hornets,CHA,110,108,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447023,NBA,2025-26,2025-11-18T01:00:00Z,Regular Season,,Minnesota Timberwolves,MIN,Dallas Mavericks,DAL,120,96,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447024,NBA,2025-26,2025-11-18T01:00:00Z,Regular Season,,New Orleans Pelicans,NOP,Oklahoma City Thunder,OKC,109,126,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447025,NBA,2025-26,2025-11-18T02:00:00Z,Regular Season,,Denver Nuggets,DEN,Chicago Bulls,CHI,127,130,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447026,NBA,2025-26,2025-11-19T00:00:00Z,Regular Season,,Orlando Magic,ORL,Golden State Warriors,GSW,121,113,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447027,NBA,2025-26,2025-11-19T00:30:00Z,Regular Season,,Brooklyn Nets,BKN,Boston Celtics,BOS,99,113,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447028,NBA,2025-26,2025-11-19T00:30:00Z,Regular Season,,Atlanta Hawks,ATL,Detroit Pistons,DET,112,120,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447029,NBA,2025-26,2025-11-19T01:00:00Z,Regular Season,,San Antonio Spurs,SAS,Memphis Grizzlies,MEM,111,101,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447030,NBA,2025-26,2025-11-19T03:30:00Z,Regular Season,,Los Angeles Lakers,LAL,Utah Jazz,UTA,140,126,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447031,NBA,2025-26,2025-11-19T04:00:00Z,Regular Season,,Portland Trail Blazers,POR,Phoenix Suns,PHX,110,127,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447032,NBA,2025-26,2025-11-20T00:00:00Z,Regular Season,,Cleveland Cavaliers,CLE,Houston Rockets,HOU,104,114,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
